farm_name,state,city,county,county_source,address,postal_code,products,phone,email,website_url,facebook_url,instagram_url,source_names,source_urls,source_modified_date,retrieved_date,source_passes,current_release_match,review_status,notes
Home Place Pastures,MS,Como,Panola,U.S. Census geocoder from public source address,"1789 Home Place Rd, Como, MS 38619",38619,Grass Fed Beef; Pastured Pork; Pastured Eggs,(662) 426-6191,info@homeplacepastures.com,https://www.homeplacepastures.com,https://www.facebook.com/homeplacepastures/,http://instagram.com/homeplacepastures,Genuine MS — Raised,https://genuinems.com/directory/home-place-pastures/,2024-07-18,2026-07-15,1,Home Place Pastures,Existing release row — enrich/verify,
Homestead Farms,MS,,,,1155 Walker Road,,Farm Fresh Eggs,(601) 878-9320,k.summerlin59@gmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=111,,2026-07-15,2,,New candidate — needs independent verification,
Honestly Beef,MS,Magee,Simpson,U.S. Census geocoder from public source address,"509 1st Ave SW, Magee, MS 39111",39111,"Ground Beef; Roasts; Brisket; Filet of Tenderloin Steaks; NY Strip Steaks; Ribeye Steaks; Top Sirloin Steaks; Flanks & Flat Iron Steaks; Short Ribs & Rib Rack; Beef Tips; Soup Bones; Oxtail; Tongue; Liver, Heart, Kidney, & Cheek; Smoked Link Sausages; Liver Doggie Treats",(601) 299-4202,beef@honestlybeef.com,https://www.honestlybeef.com,https://www.facebook.com/honestlybeef/,https://www.instagram.com/honestly.beef,Genuine MS — Raised,https://genuinems.com/directory/honestly-beef/,2024-11-06,2026-07-15,1,Honestly Beef,Existing release row — enrich/verify,
Hope Fruit and Berry Farm,MS,Morton,Smith,PickYourOwn listing,,,"blackberries, blueberries, Muscadines, grapes, |",601-382-3018,hopefruit@bayspringstel.net,,,,PickYourOwn — East Central,https://www.pickyourown.org/MSeast.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Humphrey Farms,MS,Seminary,Covington,PickYourOwn listing,,,"Cantaloupe, cucumbers, eggplants, okra, peas, peppers, summer squash, tomatoes, watermelons, U-pick and already picked, porta-potties |",(601) 641-0909,dmh2698@gmail.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Indian Springs Farmers Association,MS,Petal,Forrest,U.S. Census geocoder from public source address,"131 Sheeplo Loop , Petal, Mississippi 39465",39465,Collards; Mustards; Kale; Turnips; Watermelon; Sweet Potatoes; Okra; Eggplants; Sweet Corn; Butter beans; Pink Eyed purple hull peas; Jalapeños; Red Beans; Black Beans; Green Onions; Tomatoes,(601) 543-0900,isfa39465@gmail.com,,,,Genuine MS — Grown,https://genuinems.com/directory/indian-springs-farmers-association/,2024-05-20,2026-07-15,1,Indian Springs Farmers Assoc.,Possible existing fuzzy match — identity review,
J & D Farms,MS,Poplarville,Pearl River,PickYourOwn listing,,,Blueberries |,504-782-0779,Jdfreshmarket1@gmail.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,J & D Farms (MS),Possible existing fuzzy match — identity review,Conservative import: listing was not marked closed; confirm activity before promotion.
James Farm,MS,Gore Springs,Grenada,U.S. Census geocoder from public source address,"860 James Rd 855 James Rd, Gore Springs, Mississippi 38929",38929,Pink-Eye Purple Hull Peas; Speckled Purple Hull Pea; Sweet Corn; Field Corn; Squash; Seasonal Veggies,662-229-5985,tangejames@yahoo.com,,,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/james-farm/,2026-04-10,2026-07-15,1,,New candidate — recent authoritative profile,
JD Farms & Pearl River Tea Co.,MS,,,,574 Slade Woodward Road,,Blueberries Different kinds of teas (tea leaves),(504) 782-0779,,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=260,,2026-07-15,2,,New candidate — needs independent verification,
Jerry Morrisson Tree Farm,MS,ETTA,Union,U.S. Census geocoder from public source address,"1652 CR 32, Etta, MS. 38627, ETTA, MS 38627-9770",38627,Pine saw timber; Hardwood saw timber; Pulpwood; Poles,(662) 791-1895,jamorrisson@gmail.com,,,,Genuine MS — Grown,https://genuinems.com/directory/jerry-morrisson-tree-farm/,2025-02-13,2026-07-15,1,,New candidate — recent authoritative profile,
JP Show Cattle,MS,Laurel,,,"149 Sellers Cooley Drive, Laurel, MS 39443",39443,,6015491248,jphillipsperfolog@yahoo.com,,https://www.facebook.com/jpshowcattle/,,Genuine MS — Raised,https://genuinems.com/directory/jp-show-cattle/,2026-04-10,2026-07-15,1,,New candidate — recent authoritative profile,
K and M Nursery,MS,Buckatunna,Wayne,U.S. Census geocoder from public source address,"1260 Chicora River Road, Buckatunna, MS 39322",39322,Roses,(601) 648-2908,info@kandmroses.com,https://www.kandmroses.com/,https://www.facebook.com/kandmroses/,,Genuine MS — Grown,https://genuinems.com/directory/k-and-m-nursery/,2019-08-27,2026-07-15,1,,New candidate — needs independent verification,
Keep Mississippi Beautiful’s Wildflower Trails of Mississippi,MS,Madison,,,"150 Fountains Blvd., Suite D, Madison, MS 39110",39110,Wildflower Seed; Wildflowers,(601) 853-4210,sarah@keepmsbeautiful.com,https://mswildflowers.org/,https://www.facebook.com/mswildflowers/,,Genuine MS — Grown,https://genuinems.com/directory/keep-mississippi-beautifuls-wildflower-trails-of-mississippi/,2025-08-04,2026-07-15,1,,New candidate — recent authoritative profile,
Kengro Corporation,MS,Charleston,Tallahatchie,U.S. Census geocoder from public source address,"6605 Highway 32 East, Charleston, Mississippi 38940",38940,Biosorb; Biopad; Biosorb Sock; Biosorb Boom; Biosorb Pillow,(662) 647-2456,info@kengro.com,https://www.kengro.com,https://www.facebook.com/KengroCorporation/,,Genuine MS — Grown,https://genuinems.com/directory/kengro-corporation/,2023-07-27,2026-07-15,1,,New candidate — needs independent verification,
Kingbeehoney,MS,Brookhaven,Lincoln,U.S. Census geocoder from public source address,"2572 E Lincoln Rd SE, Brookhaven, Mississippi 39601",39601,Honey; Creamed honey; Bees wax candles; Salves; Chap stick; Honey whipped body butter; Lip balm,(601) 597-5512,kingbeehoney2572@yahoo.com,https://www.kingbeehoney2572.com,https://www.facebook.com/kbh2572,,Genuine MS — Raised,https://genuinems.com/directory/kingbeehoney/,2024-02-14,2026-07-15,1,,New candidate — needs independent verification,
Kuska Paku Alpaca Farm - South Mississippi Alpacas,MS,Moss Point,Jackson,PickYourOwn listing,,,"South Mississippi Alpacas - pears, petting zoo, farm animals, events at your location (call for info) |",228-326-4599,KKUSKA@BELLSOUTH.NET,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
La Terre Farms,MS,Kiln,Hancock,U.S. Census geocoder from public source address,"11095 Road 514, Kiln, MS 39556",11095,Wedding garland; Seasonal wreaths and garlands; Sunflowers; Farm fresh flowers; Seasonal farm accessories; Mardi Gras wreaths garlands accessories,(228) 369-4438,teri.wyly@gmail.com,https://www.laterrefarms.com,https://www.facebook.com/laterrefarms,http://instagram.com/Laterrefarms,Genuine MS — Grown,https://genuinems.com/directory/la-terre-farms/,2025-05-02,2026-07-15,1,,New candidate — recent authoritative profile,
LAN Farms,MS,Ridgeland,,,"217 Draperton Drive Suite 100, Ridgeland , MS 39157",39157,Big Beef Box - 50-55 lbs of high quality beef in a variety of cuts including 30 lbs of ground; Weeknight Hero Box - 30 lbs of high quality ground beef,(769) 218-6617,sales@lan-farms.com,https://lan-farms.com,https://www.facebook.com/share/1RLSzkTeR3/?mibextid=wwXIfr,http://instagram.com/Lan_farms_ms,Genuine MS — Raised,https://genuinems.com/directory/lan-farms/,2026-03-24,2026-07-15,1,LAN Farms,Existing release row — enrich/verify,
LandMax Properties & Timber Company,MS,Brookhaven,Lincoln,U.S. Census geocoder from public source address,"1271 Antique Lane , Brookhaven, MS 39601",39601,We Buy Timber!,(601) 835-5050,office@landmaxproperties.com,,https://www.facebook.com/LandMAXProperties/,,Genuine MS — Grown,https://genuinems.com/directory/landmax-properties-timber-company/,2025-12-05,2026-07-15,1,,New candidate — recent authoritative profile,
Lazy Acres Farm Fun,MS,Chunky,Newton,U.S. Census geocoder from public source address,"596 Lazy Acres Road, Chunky, Mississippi 39323",39323,Pumpkins; Christmas trees,(601) 655-8264,lazyacresfarm@hotmail.com,https://www.lazy-acres.com,https://www.facebook.com/LazyAcresFarmFun,,Genuine MS — Grown,https://genuinems.com/directory/lazy-acres-farm-fun/,2025-05-09,2026-07-15,1,,New candidate — recent authoritative profile,
Lazy Acres Plantation,MS,Chunky,Newton,PickYourOwn listing,,,Pumpkins and Christmas Trees |,"601-655-8264, Fax: 601-655-8263",,,,,PickYourOwn — East Central,https://www.pickyourown.org/MSeast.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Lazy U Farm,MS,Macon,Noxubee,PickYourOwn listing,,,"blueberries, broccoli, corn (sweet), eggplants, flowers, melons, onions, peas, pumpkins, summer squash, strawberries, tomatoes, Fresh eggs, U-pick and already picked, porta-potties are available, picnic area, farm animals, birthday parties, school tours |",662 361 0237,LazyU2012@gmail.com,,,,PickYourOwn — East Central,https://www.pickyourown.org/MSeast.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Lindy’s Pecans,MS,West Point,,,"One mile south of John's Grocery on highway 45 Alt, West Point, MS 39773",39773,Pecans,(312) 203-0888,sanders_611@yahoo.com,,,,Genuine MS — Grown,https://genuinems.com/directory/lindys-pecans/,2025-07-24,2026-07-15,1,,New candidate — recent authoritative profile,
Line Creek Farms,MS,Mantee,Webster,U.S. Census geocoder from public source address,"429 Old Dancy Rd, Mantee, MS 39751-9322",39751,"Pasture raised Pork and Meat Goat Shares; Replacement Stock for Spanish, Kiko, and Boer goats",(662) 418-4135,linecreekfarms@gmail.com,,https://www.facebook.com/profile.php?id=100064903021562,,Genuine MS — Raised,https://genuinems.com/directory/line-creek-farms/,2024-01-04,2026-07-15,1,,New candidate — needs independent verification,
Line Prairie Farms,MS,Morton,Scott,U.S. Census geocoder from public source address,"3925 Highway 481 N, Morton , MS 39117",39117,Hamburger Chuck; Assorted Roasts; Beef Tip; Cube Steak; Beef Liver; Flat Iron; Flank Steak,(601) 917-0909,lineprairefarms@yahoo.com,,https://www.facebook.com/groups/1942624229391393/,,Genuine MS — Raised,https://genuinems.com/directory/line-prairie-farms/,2024-06-19,2026-07-15,1,,New candidate — needs independent verification,
Little Bluestem Farm,MS,,,,5476 Forest Grove Rd,,"Cut Flowers: zinnias, sunflowers, cosmos, dahlias, gladiolas, calla lilies, canna lilies.",(662) 571-3413,littlebluestemfarmms@gmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=146,,2026-07-15,2,,New candidate — needs independent verification,
Little Lapp Farm,MS,Macon,Noxubee,MDAC listing,,,Honey; Providing Honey,(662) 788-2549,littlelappfarm@gmail.com,https://littlelapp.com/,,,MDAC Mississippi Farm Marketplace,https://agnet.mdac.ms.gov/MarketPortal/MarketPortal,,2026-07-15,2,,New candidate — needs independent verification,
Living Soil Farms,MS,Bentonia,,,"Old Dover, Bentonia, Mississippi 39040",39040,Medical Cannabis; Honey; Kune Kune Pigs; Chickens; Turkeys; Ducks,(601) 942-4553,livingsoilfarmsllc@gmail.com,,https://www.facebook.com/Dogtrotfarms/,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/living-soil-farms/,,2026-07-15,1,Living Soil Farms,Existing release row — enrich/verify,
Livingston Springs Farm,MS,Jackson,Hinds,U.S. Census geocoder from public source address,"1400 Carsley Road, Jackson, Mississippi 39209",39209,Beef; Lamb; Pork,(601) 259-5613,lisa.kuiper@livingstonspringsfarm.com,http://www.livingstonspringsfarm.com/,Https://www.facebook.com/livingstonspringsfarm/,,Genuine MS — Raised,https://genuinems.com/directory/livingston-springs-farm/,2023-09-22,2026-07-15,1,Livingston Springs Farm,Existing release row — enrich/verify,
Lloyd Farms Corriente Cattle Co,MS,Canton,Madison,U.S. Census geocoder from public source address,"366 Moss Rd, Canton, MS 39046",39046,1/4 Beef; 1/2 Beef; Whole Beef; 10 lb Ground Beef Box,(601) 899-2946,lloydfarmscorrientecattle@outlook.com,,https://facebook.com/southernstatearena,http://instagram.com/lloydfarmsbeef,Genuine MS — Raised,https://genuinems.com/directory/lloyd-farms-corriente-cattle-co/,2025-12-30,2026-07-15,1,Lloyd Farms Corriente Cattle,Possible existing alias — identity review,
Loch Ross Farms,MS,Tylertown,Walthall,U.S. Census geocoder from public source address,"150 Jayess Road, Tylertown, MS 39667",39667,Goat's milk caramels; Goat's milk soaps; Raw honey,(601) 395-5721,lochrossfarms@gmail.com,https://lochrossfarms.com/,https://www.facebook.com/LochRossFarm,http://instagram.com/lochrossfarmllc,Genuine MS — Raised,https://genuinems.com/directory/loch-ross-farms/,2025-12-18,2026-07-15,1,,New candidate — recent authoritative profile,
M&M Cattle Company,MS,Philadelphia,Neshoba,U.S. Census geocoder from public source address,"14693 Hwy 15 North, Philadelphia, Mississippi 39350",14693,custom halves; whole beef with personalized cut options,601-462-1127,leighmaxey75@gmail.com,,https://www.facebook.com/profile.php?id=100088953071836&mibextid=ZbWKw,,Genuine MS — Raised,https://genuinems.com/directory/mm-cattle-company/,2026-05-21,2026-07-15,1,,New candidate — recent authoritative profile,
Magnolia Creek Farm,MS,Magnolia,Pike,U.S. Census geocoder from public source address,"1106 Dudley Rimes Road, Magnolia, Mississippi 39652",39652,Christmas Tree,(985) 515-0545,Shesicard@yahoo.com,,https://www.facebook.com/sicardfarm,,Genuine MS — Grown,https://genuinems.com/directory/magnolia-creek-farm/,2023-07-24,2026-07-15,1,,New candidate — needs independent verification,
Mary’s Berries,MS,Fulton,Itawamba,U.S. Census geocoder from public source address,"5 Turner Road, Fulton, MS 38843",38843,Vegetable Plants for the homeowner and Bobby gardener; Domestic chickens; Blueberries; Blackberries; Quail; Fertile and Infertile Eggs,(662) 862-3790,sheep@jesusanswers.com,,https://www.facebook.com/Marys-Berries-1695344294014795/,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/marys-berries/,2020-05-20,2026-07-15,1,,New candidate — needs independent verification,
"Mauthe Farms, LLC",MS,McComb,,,"2033 Joe Tucker Road, McComb, MS 39648",39648,Milklady Cheesecakes; Creole Cream Cheese; Butter; Whole Milk Plain Yogurt; Buttermilk; Heavy Cream; Chocolate Milk; Skim Milk; Reduced Milk; Whole Milk,(601) 542-3471,progressmilkbarn@gmail.com,http://mauthefarms.blogspot.com/p/about-farm.html,https://www.facebook.com/Mauthesprogressmilkbarn/,http://instagram.com/mauthesprogressmilkbarn,Genuine MS — Raised,https://genuinems.com/directory/mauthe-farms-llc/,2023-02-16,2026-07-15,1,Mauthe Farms LLC,Existing release row — enrich/verify,
Mert’s Satsumas,MS,Gulfport,Harrison,U.S. Census geocoder from public source address,"14380 Duckworth Road, Gulfport, MS 39503",14380,Satsuma Jelly; Grapefruit; Cuties; Sumos; Kumquats; Naval Oranges; Lemons; Mandrine (all types); Clementines,(228) 831-2936,valgbm@live.com,,https://www.facebook.com/Merts-Satsumas-176798569041316/,,Genuine MS — Grown,https://genuinems.com/directory/merts-satsumas/,2024-05-01,2026-07-15,1,,New candidate — needs independent verification,
Mississippi Beef Brothers,MS,Pontotoc,,,"5255 Veterans Hwy West , Pontotoc , Mississippi 38863",38863,Filet; Ribeye; Tomahawk; T-Bone; Porterhouse; NY Strip; Sirloin; Flank; Skirt; Hanger; Flat Iron; Cube Steak; Chuck Eye; Ground Beef; Tri-Tip; Sirloin Roast; Chuck Roast; Oxtails; Marrow Bones; Neck Bones; Knuckle Bones; Short Ribs; Korean Style Short Ribs; Back Ribs; Plate Ribs; Liver; Heart; Tongue; Brisket; Stew/Kabob; Beef Sausage; Fajita Strips; Beef Tallow; Beef Hot Dogs,(662) 308-7015,msbeefbros@icloud.com,https://www.mississippibeefbros.com/,https://www.facebook.com/share/1BK2wdRL3a/?mibextid=wwXIfr,https://www.instagram.com/mississippibeefbros?igsh=MWlvd20wb3Q4NzM5OQ%3D%3D&utm_source=qr,Genuine MS — Raised,https://genuinems.com/directory/mississippi-beef-brothers/,,2026-07-15,1,,New candidate — needs independent verification,
MISSISSIPPI BEES,MS,Jackson,Madison,U.S. Census geocoder from public source address,"176 Highway 49 N, Jackson, Mississippi 39209",39209,Honey; Comb Honey,(601) 879-8044,frank@mississippibees.com,,https://www.facebook.com/pages/category/Shopping---Retail/Mississippi-Bees-Honey-and-Beeswax-Products-129981840384248/,,Genuine MS — Raised,https://genuinems.com/directory/mississippi-bees/,2025-04-21,2026-07-15,1,,New candidate — recent authoritative profile,
Mississippi Crawfish Company,MS,Belzoni,,,"15986 Highway 49, Belzoni, MS 39038",15986,Seasoning; Crawfish,(601) 613-2655,jason@rhettholding.com,https://mscrawfishco.com/,https://www.facebook.com/profile.php?id=100081529220383,http://instagram.com/mscrawfishcompany,Genuine MS — Raised,https://genuinems.com/directory/mississippi-crawfish-company/,2026-01-27,2026-07-15,1,,New candidate — recent authoritative profile,
Mississippi Poodles Doodles and Giants,MS,Canton,,,"Birch Ln., Canton , MS 39046",39046,Giant Schnauzers; Standard Poodles,(662) 701-7986,helenlanemilton@gmail.com,https://www.mspoodlesdoodlesandgiants.com/,https://www.facebook.com/profile.php?id=100087493509672,http://instagram.com/mspoodlesdoodlesandgiants,Genuine MS — Raised,https://genuinems.com/directory/mississippi-poodles-doodles-and-giants/,2025-12-03,2026-07-15,1,,New candidate — recent authoritative profile,
"Mitchell Family Farms, LLC",MS,Collins,Covington,U.S. Census geocoder from public source address,"626 Leaf River Church Road, Collins, MS 39428",39428,Green/Dry Peanuts; Pumpkins; Sweet Potatoes; Honey; Jams/Jellies; Kettle Corn,(601) 606-0762,jolynn.mitchell@yahoo.com,https://visitmitchellfarms.com/,https://www.facebook.com/Mitchell-Farms-324457531849/,http://instagram.com/mitchellfamfun,Genuine MS — Grown,https://genuinems.com/directory/mitchell-family-farms-llc/,2026-01-05,2026-07-15,1,Mitchell Family Farms,Possible existing alias — identity review,
Mitchell Farms,MS,Collins,Covington,PickYourOwn listing,,,"blueberries, corn (sweet), peaches, pumpkins, Honey from hives on the farm, prepicked produce, farm market, snacks and refreshment stand, restrooms, picnic area, farm animals, birthday parties, school tours, events at your location (call for info) |",601-765-8609,Info@visitmitchellfarms.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,Mitchell Family Farms,Possible existing alias — identity review,Conservative import: listing was not marked closed; confirm activity before promotion.
Moon Lake Pecans LLC,MS,Dundee,Coahoma,U.S. Census geocoder from public source address,"1180 Mohead Road , Dundee, MS 38624",38624,Shelled pecans; Fried Pecans; Whole Pecans,(662) 514-1749,moonlakepecans@gmail.com,,https://www.facebook.com/profile.php?id=100057627091737,,Genuine MS — Grown,https://genuinems.com/directory/moon-lake-pecans-llc/,2025-04-16,2026-07-15,1,,New candidate — recent authoritative profile,
Morgan Farms Custom Beef,MS,Sumrall,Lamar,U.S. Census geocoder from public source address,"8874 US Highway 98, Sumrall, MS 39482",39482,"Processed, Aged, & Packaged Whole Cow; Processed, Aged, & Packaged Half Cow; Processed, Aged, & Packaged Quarter Cow; Live Finished Cows; Replacement Heifers",(601) 408-1053,amanda@morganfarms22.com,https://www.morganfarms22.com,https://www.facebook.com/Morganfarms22/,,Genuine MS — Raised,https://genuinems.com/directory/morgan-farms-custom-beef/,2025-12-22,2026-07-15,1,,New candidate — recent authoritative profile,
Morning Dew Pastures llc,MS,Seminary,Jones,U.S. Census geocoder from public source address,"43 Peach Tree Lane, Seminary, MS 39479",39479,Pastured Poultry; Beef; Pork; Eggs,(601) 466-7377,greg@morningdewpastures.com,https://www.morningdewpastures.com,https://www.facebook.com/Morningdewpastures/,,Genuine MS — Raised,https://genuinems.com/directory/morning-dew-pastures-llc/,2024-05-06,2026-07-15,1,,New candidate — needs independent verification,
Morris Watermelon Farm LLC,MS,Mound Bayou,Bolivar,U.S. Census geocoder from public source address,"309 West Lampton, Mound Bayou, MS 38762",38762,Watermelon; Cantaloupe,(323) 788-6837,morrishodges@yahoo.com,https://bigmanfarm.com/,,,Genuine MS — Grown,https://genuinems.com/directory/morris-watermelon-farm-llc/,2024-04-18,2026-07-15,1,,New candidate — needs independent verification,
Moseley Meadows,MS,Madison,,,"466 Yandell Rd, Madison, Mississippi 39110",39110,Pumpkins,(601) 664-8970,MoseleyMeadows@gmail.com,,https://www.facebook.com/moseleymeadows,http://instagram.com/moseleymeadows,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/moseley-meadows/,2025-12-18,2026-07-15,1,,New candidate — recent authoritative profile,
MS Coastal Seafood,MS,Ocean Springs,Jackson,U.S. Census geocoder from public source address,"6945 Pinehurst Drive, Ocean Springs, Mississippi 39564",39564,Shrimp; Crab Claws; Lump Crab Meat; Oysters,6019413159,mbridges1414@yahoo.com,,,,Genuine MS — Raised,https://genuinems.com/directory/ms-coastal-seafood/,2026-07-07,2026-07-15,1,,New candidate — recent authoritative profile,
MS PEANUT SUPPLY,MS,Aberdeen,,,"41155 HIGHWAY 45 SOUTH, Aberdeen, MS 39730",41155,Raw shelled peanuts; Fried peanuts,(662) 369-2733,roland@mspeanut.com,https://www.mspeanut.com,https://www.facebook.com/mspeanutsupply/,,Genuine MS — Grown,https://genuinems.com/directory/ms-peanut-supply/,2023-08-07,2026-07-15,1,,New candidate — needs independent verification,
Murphree Orchards,MS,Pittsboro,Calhoun,PickYourOwn listing,,,"peaches, plums |",(662) 414-1107,valda.murphree@gmail.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
N & W Farms Produce Inc.,MS,Vardaman,Calhoun,U.S. Census geocoder from public source address,"222 Hwy 341 South, Vardaman, MS 38878",38878,Sweet Potato; Peas; Butter beans,(662) 682-7961,nwfarms@nandwfarms.com,,https://www.facebook.com/nandwfarms/?ref=page_internal,,Genuine MS — Grown,https://genuinems.com/directory/n-w-farms-produce-inc/,2023-07-24,2026-07-15,1,,New candidate — needs independent verification,
Nature Crest LLC,MS,Mendenhall,Simpson,U.S. Census geocoder from public source address,"3412 Hwy 541 N, Mendenhall, Mississippi 39114",39114,Shiitake Mushroms; Oyster Mushroms; Lion's Mane Mushrooms,(601) 421-9049,naturecrest2015@gmail.com,,https/www.naturecrestmushrooms.com,,Genuine MS — Grown,https://genuinems.com/directory/nature-crest-llc/,2025-10-22,2026-07-15,1,,New candidate — recent authoritative profile,
Nature’s Gourmet Farm,MS,Petal,Perry,U.S. Census geocoder from public source address,"367 McKenzie Rd, Petal, Mississippi 39465-5724",39465,Grass Fed to Finish Beef (no grains); Pastured Pork (GMO Free); Pastured Chicken (GMO Free); Pastured Eggs (GMO Free),(601) 434-9081,bensimmons@ftcweb.net,https://naturesgourmetfarm.com/,https://www.facebook.com/naturesgourmetfarm/,,Genuine MS — Raised,https://genuinems.com/directory/natures-gourmet-farm/,2023-02-22,2026-07-15,1,Nature's Gourmet,Possible existing alias — identity review,
Nesbit Blueberry Plantation,MS,Hernando,DeSoto,PickYourOwn listing,,,"blueberries, |",662-429-3778,traicoff5489@aol.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
New Ground Nursery,MS,Brandon,Rankin,U.S. Census geocoder from public source address,"118 Thornton Rd, Brandon, MS 39042",39042,Fig cuttings (70+ specialty varieties); Fig trees (70+ specialty varieties); Native shrubs,601-214-6569,spthorn2@gmail.com,,https://www.facebook.com/profile.php?id=61586321047384,,Genuine MS — Grown,https://genuinems.com/directory/new-ground-nursery/,2026-04-30,2026-07-15,1,,New candidate — recent authoritative profile,
Nobile Family Farms,MS,Holcomb,Grenada,U.S. Census geocoder from public source address,"10560 Hwy 8 west, Holcomb, Mississippi 38940",10560,Pork; Beef; Lamb; Vegetables,(662) 809-9805,nobilefamilyfarms@yahoo.com,,https://www.facebook.com/nobilefamilyfarms,http://instagram.com/nobilefamilyfarms,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/nobile-family-farms/,2023-01-05,2026-07-15,1,Nobile Family Farms,Existing release row — enrich/verify,
Ol’ Cappy’s Bee Products,MS,Hernando,DeSoto,U.S. Census geocoder from public source address,"1786 Cotton Drive , Hernando, MS 38632",38632,"Pure, Raw Honey; Creamed Honey; Lip balm; Salve/Moisturizer; Bee Pollen; Bee Wax",(901) 219-9944,patrick@olcappy.com,https://www.olcappy.com,HTTPS://www.facebook.com/olcappysbeeproducts,https://www.instagram.com/olcappy/,Genuine MS — Raised,https://genuinems.com/directory/ol-cappys-bee-products/,2025-04-09,2026-07-15,1,,New candidate — recent authoritative profile,
Our Four Acre Farm,MS,Carthage,Leake,U.S. Census geocoder from public source address,"2148 Red Dog Rd, Carthage, MS 39051",39051,"Beeswax + Honey Lip Balm; Vanilla-Infused Oil; Beekeeper's Salve; Lymphatic Massage Oil; Beeswax and Tallow Candles; Herbal Tea Blends and Simmer Pots; Vanilla + Honey Tallow Balm; Golden Honey Body Wash; Plant Based Face Cleanser, Toner, and Youth Glow Serum and Sun Balm,; Beeswax Chest Rub; Comfrey Salve and Drawing Salve; Raw Honey; Bug Bee Gone; Clay Masks; Beeswax; Lash Pomade; Calendula Oil; Magnesium Spray",601-910-8998,ourfouracrefarm@gmail.com,https://www.ourfouracrefarm.com,https://www.facebook.com/ourfouracrefarm,,Genuine MS — Raised,https://genuinems.com/directory/our-four-acre-farm/,2026-04-28,2026-07-15,1,,New candidate — recent authoritative profile,
Overflow Honey Co.,MS,Florence,Rankin,U.S. Census geocoder from public source address,"2396 Highway 49 N, Florence , MS 39073",39073,protective gear; frames; hive components; Bee Keeping Tools; The Original Beetle Trap & Tray; Nucs; Feeding Supplements; Bee Apparel; Children's Book on Bee's; Goat Milk Soap; Honey; Lotion Bars; Candles; Beeswax Bars,(601) 260-6499,info@overflowhoney.com,https://www.overflowhoneyco.com/,https://www.facebook.com/p/Overflow-Honey-Co-61568101702590/,http://instagram.com/overflow.honey.co,Genuine MS — Raised,https://genuinems.com/directory/overflow-honey-co/,,2026-07-15,1,,New candidate — needs independent verification,
Pasture & Pine,MS,DeKalb,Kemper,U.S. Census geocoder from public source address,"6776 Highway 39 South, DeKalb, MS 39328",39328,Grassfed and grass-finished beef; Grassfed and grass-finished lamb; Farm-fresh pork,(601) 938-8999,maryellenwaters@gmail.com,,https://www.facebook.com/profile.php?id=100093181752721&mibextid=LQQJ4d,,Genuine MS — Raised,https://genuinems.com/directory/pasture-pine/,2023-08-28,2026-07-15,1,,New candidate — needs independent verification,
Paul’s Plants,MS,Brandon,Rankin,U.S. Census geocoder from public source address,"112 Cannon Ridge Dr., Brandon, Mississippi 39042",39042,Trees; Perennial Plants; Annual Plants; Shrubs,769-798-6761,sales@paulsplants.net,https://paulsplants.net,,,Genuine MS — Grown,https://genuinems.com/directory/pauls-plants/,2026-04-29,2026-07-15,1,,New candidate — recent authoritative profile,
